               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.045091,            0.059218,                   0,              0.8316,             0.67109,             0.81155,             0.47472,            0.042588,            0.072923,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.044801,            0.058554,                   0,             0.79934,             0.71509,              0.8156,             0.48182,            0.042882,            0.070368,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.044948,            0.057996,                   0,             0.82203,             0.69264,             0.81146,             0.47769,            0.042979,             0.07067,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.045184,            0.059636,                   0,             0.84201,             0.65933,             0.79713,              0.4758,            0.043555,             0.07381,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.045044,            0.055696,                   0,             0.83385,             0.67573,             0.81244,             0.47674,            0.043116,            0.075124,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.044796,            0.058559,                   0,             0.83095,             0.67385,             0.80695,             0.48824,            0.042484,            0.071617,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.045226,            0.057737,                   0,             0.83354,             0.68048,             0.81502,             0.48692,            0.042761,            0.071724,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.045074,            0.058015,                   0,             0.81175,             0.71884,              0.8145,             0.46905,             0.04216,            0.069898,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.043516,            0.055786,                   0,             0.83758,             0.64011,             0.77715,             0.46958,            0.044086,             0.07551,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.043709,            0.057363,                   0,             0.80647,             0.69126,             0.80378,               0.483,             0.04236,            0.072269,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.044388,            0.058023,                   0,             0.84787,             0.63168,             0.78204,             0.47532,            0.043759,            0.077857,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.043688,            0.056728,                   0,             0.81399,             0.68081,             0.80484,             0.48741,             0.04276,            0.073425,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.044335,              0.0581,                   0,             0.80964,             0.68885,             0.81168,              0.4898,             0.04247,            0.073431,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.044237,            0.056863,                   0,             0.79422,             0.71622,             0.81966,             0.48022,            0.042183,            0.069959,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.042971,            0.058746,                   0,             0.81788,             0.72394,             0.82227,             0.47024,            0.042578,              0.0698,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,             0.04415,            0.058679,                   0,             0.82057,             0.70384,              0.8174,             0.48202,            0.042759,            0.071707,                   0,            0.005248,            0.005248,            0.005248
